gene_symbol,type,soc,auroc,wt_pvalue,ttest_statistic,ttest_pvalue
CYP3A5,enzyme,Hepatobiliary disorders,0.64891975308642,0.054233591028095,10.7314404750565,1.84314471889485e-26
CYP2C9,enzyme,Metabolism and nutrition disorders,0.471936834094368,0.777907623602588,-6.57646288851091,0.999999999974643
CYP1A1,enzyme,Eye disorders,0.381944444444444,0.724154075000108,-8.92569121602703,1
CYP2C8,enzyme,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.473214285714286,0.619355614187646,0.141974551028676,0.443555765310031
CYP1A1,enzyme,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.23,0.974620869947354,-9.67389120758215,1
CYP1A1,enzyme,Renal and urinary disorders,0.475,0.567444299203304,-5.92755051371052,0.999999996644549
CYP3A5,enzyme,Infections and infestations,0.353009259259259,0.886795605577911,-3.26603029738953,0.999426840896111
CYP3A5,enzyme,Renal and urinary disorders,0.477430555555556,0.652754726740711,-6.06786653823593,0.999999999312848
CYP3A5,enzyme,Nervous system disorders,0.418929110105581,0.968935927003212,-10.6151696996243,1
CYP3A7,enzyme,Nervous system disorders,0.357816951566952,0.991244129920696,-21.5545548051089,1
CYP3A7-CYP3A51P,enzyme,Nervous system disorders,0.463398227287116,0.773098495061345,-1.19067223802576,0.883078369206544
CYP24A1,enzyme,Metabolism and nutrition disorders,0.13855421686747,0.961817010371297,-22.8022921815775,1
CYP27B1,enzyme,Metabolism and nutrition disorders,0.75,0.114856982579446,9.01146405325906,6.95935955511912e-17
CYP27A1,enzyme,Metabolism and nutrition disorders,0.602409638554217,0.315373515389383,4.16428155802513,2.28850839480306e-05
CYP2R1,enzyme,Metabolism and nutrition disorders,0.397590361445783,0.760332820351942,-6.81385259846665,0.999999999983712
CYP11A1,enzyme,Metabolism and nutrition disorders,0.448795180722892,0.604372675976609,-3.96030099767096,0.9999484286504
CYP24A1,enzyme,Renal and urinary disorders,0.420833333333333,0.685748218931357,-4.5499438509191,0.999996543342027
CYP27B1,enzyme,Renal and urinary disorders,0.719512195121951,0.150889750841826,6.84114574392888,2.83415002686158e-11
CYP27A1,enzyme,Renal and urinary disorders,0.347560975609756,0.77548893644436,-17.0233716117121,1
CYP2R1,enzyme,Renal and urinary disorders,0.486280487804878,0.541206630328413,-0.472859665334129,0.681763698254972
CYP11A1,enzyme,Renal and urinary disorders,0.518292682926829,0.476529663753565,0.955749847450343,0.170020414953033
CYP2B6,enzyme,Cardiac disorders,0.532432432432433,0.343053258824907,3.36135997543359,0.000394171093756201
CYP2B6,enzyme,Vascular disorders,0.413676697530864,0.918217707688149,-13.7210459545647,1
CYP2C9,enzyme,Vascular disorders,0.46625481000481,0.834871702947374,-9.70082349107192,1
CYP2B6,enzyme,Surgical and medical procedures,0.930555555555556,0.00787582141053381,22.6531113830017,3.83661840524838e-95
CYP2C19,enzyme,Surgical and medical procedures,0.25,0.833333333333333,0.862837005230463,0.194374605887555
CYP2C9,enzyme,General disorders and administration site conditions,0.512561479991058,0.357830552989507,6.54154230357437,3.16475023892422e-11
CYP2C9,enzyme,"Injury, poisoning and procedural complications",0.481612818492251,0.666189824872067,-4.25397281330135,0.999989376266027
CYP2C9,enzyme,Infections and infestations,0.388099747474747,0.959619536276131,-16.0572486925123,1
CYP2B6,enzyme,Blood and lymphatic system disorders,0.399319727891156,0.928116835360607,-10.2016772363541,1
CYP2C9,enzyme,Blood and lymphatic system disorders,0.576475694444445,0.0368573924238463,10.2795769702243,5.82274898604965e-25
CYP2C19,enzyme,Blood and lymphatic system disorders,0.524489795918367,0.42602799160425,1.89216702038584,0.0293516175657515
CYP2B6,enzyme,Skin and subcutaneous tissue disorders,0.510886644219978,0.443829132072971,1.98330895477986,0.0237448072554694
CYP2C9,enzyme,Skin and subcutaneous tissue disorders,0.456325725556495,0.894446452699774,-9.79332494377434,1
CYP2B6,enzyme,Gastrointestinal disorders,0.475541579315164,0.598995731944473,-0.652971032993811,0.743038695172617
CYP3A5,enzyme,Blood and lymphatic system disorders,0.346006944444444,0.99465652561824,-21.5510077441925,1
CYP2B6,enzyme,Endocrine disorders,0.462962962962963,0.681613897669146,-6.20763152106,0.99999999967293
CYP3A5,enzyme,Endocrine disorders,0.384615384615385,0.983256994777256,-13.9581187557392,1
CYP2B6,enzyme,Reproductive system and breast disorders,0.515,0.407422709292403,-0.96997111858554,0.833931035659768
