drugA,drugB,meddra,N,type
21604562,21604718,35809327,10,negativo
21603967,21603980,35909469,19,negativo
21603905,21603908,35708208,50,negativo
21600083,21602737,36110597,14,negativo
21603967,21603980,36718555,63,negativo
21601399,21601423,36009901,14,negativo
21604348,21605129,36416595,10,negativo
21602735,21603897,36315575,11,negativo
21600493,21600535,35708208,13,negativo
21603905,21603968,35708202,30,negativo
21603158,21603168,36314766,18,negativo
21600535,21602485,36918858,10,negativo
21604229,21604272,37622449,16,negativo
21604415,21604431,36918942,13,negativo
21601423,21603929,35205355,12,negativo
21601435,21603929,36718288,14,negativo
21601394,21603718,36110597,30,negativo
21601435,21603718,35909511,17,negativo
21604344,21603448,36311923,20,negativo
21601390,21601428,36416637,16,negativo
21601439,21603732,35809120,12,negativo
21600493,21602735,36516959,13,negativo
21602732,21602735,36111047,12,negativo
21603131,21604131,35104877,22,negativo
21601423,21603929,36009738,94,negativo
21601423,21601428,37219863,21,negativo
21601399,21603929,36211181,34,negativo
21602102,21603925,37622449,11,negativo
21602732,21601423,37522220,76,negativo
21602338,21603285,36110874,10,negativo
21601431,21603929,35708093,36,negativo
21604559,21604714,37219871,12,negativo
21601428,21603800,35809054,36,negativo
21602737,21603929,35204948,21,negativo
21603288,21603356,37522220,26,negativo
21603929,21603968,35104236,12,negativo
21601390,21603732,36110597,43,negativo
21601390,21601423,35104306,10,negativo
21603967,21603497,35809054,30,negativo
21601435,21603777,36416595,19,negativo
21602485,21604344,35205185,14,negativo
21604556,21604762,36918942,10,negativo
21602735,21603362,36315984,12,negativo
21602737,21603929,35808914,12,negativo
21602102,21603718,36110110,10,negativo
21601129,21602735,35809054,29,negativo
21604115,21604436,35104691,10,negativo
21603362,21603497,36009700,20,negativo
21600493,21604590,35104877,12,negativo
21602735,21603607,35909513,14,negativo
21604711,21604757,36919098,12,negativo
21603356,21603514,37219907,27,negativo
21602256,21604713,35809369,10,negativo
21603160,21603173,36312538,10,negativo
21603718,21605269,36110597,10,negativo
21600658,21603285,36009711,18,negativo
21602256,21603911,35205025,300,negativo
21602737,21604348,37219905,10,negativo
21603160,21603165,36416638,10,negativo
21602102,21602737,36110026,15,negativo
21601419,21603718,35809059,12,negativo
21604559,21604562,36516867,12,negativo
21602338,21602732,36110597,24,negativo
21600575,21603080,35104877,11,negativo
21601423,21603929,36617247,10,negativo
21602730,21601423,35708093,49,negativo
21602737,21601423,36009783,13,negativo
21603732,21603748,36718119,14,negativo
21602737,21601394,36416595,14,negativo
