triplet_id,type,max_ior,mean_ior,n_stages_significant
1870,negative,1.00006531826924,1.00002964823176,0
1871,negative,1.72707731510785,0.69613619193143,0
1872,negative,16.3576434367391,5.23470372775627,0
1873,negative,3.09362355795108,1.83627664765036,0
1874,negative,153.045333447079,74.7263269034892,4
1875,negative,73828.3110384485,31052.1661376089,2
1876,negative,1.19279380726022,1.09145504282333,0
1877,negative,1.00361350828898,1.00161734076814,0
1878,negative,0.740755118488901,0.251558944404434,0
1879,negative,1.00006045252211,0.999750768648104,0
1880,negative,1.03114997686479,1.01311605509914,0
1881,negative,1.29848226081608,0.815454020286668,0
1882,negative,0.934807238156674,0.585581155824084,0
1883,negative,1.00000321310994,0.999957846292632,0
1884,negative,1.00000336785949,0.999998406883271,0
1885,negative,2.14933795083003,1.28238051335028,0
1886,negative,18.1990198297863,11.810439581836,7
1887,negative,6.95531280911792,2.75498447799562,3
1888,negative,1.00000672699997,0.999977791146388,0
1889,negative,0.92556465285151,0.776073284882462,0
1890,negative,1.29843566158013,1.1605606458418,0
1891,negative,0.356222671580951,0.216398328712864,0
1892,negative,0.667571951064063,0.352204404226674,0
1893,negative,0.975946584889928,0.656963165863788,0
1894,negative,1.5410162012289,1.24656392792932,0
1895,negative,0.3354717570162,0.165796647822191,0
1896,negative,2.07957307273036,1.46464456591034,0
1897,negative,1.1862912560819,1.0960784952177,0
1898,negative,0.919743278954648,0.761931696774061,0
1899,negative,1.00023827526937,1.0000920564875,0
1900,negative,0.999997123671007,0.999907303265269,0
1901,negative,1.00000139048579,0.999944627039586,0
1902,negative,0.999992325927213,0.999981829548209,0
1903,negative,45890.6168644242,10242.4861960402,6
1904,negative,1.00007169345718,1.0000341821507,0
1905,negative,1.13868134437176,1.05939510933015,0
1906,negative,3.43126068872419,1.7080883489576,3
1907,negative,3.33065741332868,1.97082918710964,0
1908,negative,1.86514163838444,1.0490486691434,0
1909,negative,1.63048074680551,1.27756487315064,0
1910,negative,0.304411479704415,0.143459567265219,0
1911,negative,2.13235382959055,1.52588720297064,3
1912,negative,0.87609748802989,0.50202452904998,0
1913,negative,0.680721373103842,0.623284772264717,0
1914,negative,0.999984907749693,0.999982537610934,0
1915,negative,1833.94129517867,420.49991944572,5
1916,negative,1241.91534584139,321.550793249344,7
1917,negative,0.0367593435487215,0.0291871248341356,0
1918,negative,4.50716582062306,2.71000710033077,0
1919,negative,1.0527404521774,0.8076830512097,0
1920,negative,1.2469812435099,0.366281869523649,0
1921,negative,12.8438983097171,4.37970251976223,1
1922,negative,3.90817393049845,2.167416338566,3
1923,negative,1.0000052692115,0.999950237415725,0
1924,negative,3879.81577373658,713.582594439802,5
1925,negative,1.00003103494955,1.00000961915264,0
1926,negative,0.73418514252178,0.306617244710522,0
1927,negative,1.0000543827813,0.99989580207496,0
1928,negative,6.57284767359196,3.92003624729465,4
1929,negative,0.473204970025306,0.363683852279578,0
1930,negative,3.13856125438122,1.50392532785786,2
1931,negative,2.16727279856392,1.45973393206243,3
1932,negative,0.417038779337005,0.189917917065516,0
1933,negative,138805.215950799,25017.6460661894,5
1934,negative,0.975099023701788,0.809880833147295,0
